TITLE,PUBLISHER,PLATFORM,COUNTER_SOURCE,YOP,DOI,ISBN,ISSN,ONLINE_ISBN,ONLINE_ISSN,PRINT_ISBN,PRINT_ISSN,URI,BR1_FT_TOTAL,BR2_FT_HTML,BR2_FT_PDF,BR2_FT_TOTAL,BR2_SECTIONED_HTML,TR_B1_TOTAL_ITEM_REQUESTS,TR_B1_UNIQUE_TITLE_REQUESTS,TR_B3_TOTAL_ITEM_INVESTIGATIONS,TR_B3_TOTAL_ITEM_REQUESTS,TR_B3_UNIQUE_ITEM_INVESTIGATIONS,TR_B3_UNIQUE_ITEM_REQUESTS,TR_B3_UNIQUE_TITLE_INVESTIGATIONS,TR_B3_UNIQUE_TITLE_REQUESTS
A HandsOn Introduction to Data Science,Cambridge University Press,Cambridge Core,Cambridge,2020,10.1017/9781108560412,9781108560412,,,,,,https://doi.org/10.1017/9781108560412,,,,,,658,189,1011,658,579,415,218,189
Thermal Physics,Cambridge University Press,Cambridge Core,Cambridge,1999,10.1017/CBO9780511840227,9780511840227,,,,,,https://doi.org/10.1017/CBO9780511840227,,,,,,610,163,808,610,604,469,182,163
Statistical Models,Cambridge University Press,Cambridge Core,Cambridge,2003,10.1017/CBO9780511815850,9780511815850,,,,,,https://doi.org/10.1017/CBO9780511815850,,,,,,104,14,149,104,129,99,28,14
Gardens of the Roman Empire,Cambridge University Press,Cambridge Core,Cambridge,2017,10.1017/9781139033022,9781139033022,,,,,,https://doi.org/10.1017/9781139033022,,,,,,74,11,101,74,83,69,14,11
The Cambridge Handbook of Computing Education Research,Cambridge University Press,Cambridge Core,Cambridge,2019,10.1017/9781108654555,9781108654555,,,,,,https://doi.org/10.1017/9781108654555,,,,,,71,3,80,71,61,55,7,3
The Cambridge History of Science Fiction,Cambridge University Press,Cambridge Core,Cambridge,2018,10.1017/9781316694374,9781316694374,,,,,,https://doi.org/10.1017/9781316694374,,,,,,30,1,34,30,33,30,3,1
The Cambridge Companion to Ancient Greek and Roman Science,Cambridge University Press,Cambridge Core,Cambridge,2020,10.1017/9781316136096,9781316136096,,,,,,https://doi.org/10.1017/9781316136096,,,,,,25,1,26,25,26,25,1,1
The Fall of Man and the Foundations of Science,Cambridge University Press,Cambridge Core,Cambridge,2007,10.1017/CBO9780511487750,9780511487750,,,,,,https://doi.org/10.1017/CBO9780511487750,,,,,,8,2,11,8,7,5,2,2
Tallinn Manual 2.0 on the International Law Applicable to Cyber Operations,Cambridge University Press,Cambridge Core,Cambridge,2017,10.1017/9781316822524,9781316822524,,,,,,https://doi.org/10.1017/9781316822524,,,,,,157,11,186,157,171,155,12,11
The Cambridge Handbook of Linguistic Typology,Cambridge University Press,Cambridge Core,Cambridge,2017,10.1017/9781316135716,9781316135716,,,,,,https://doi.org/10.1017/9781316135716,,,,,,76,6,97,76,70,64,7,6
